"Talladega County, Alabama",Talladega County, Alabama,"82,149","51,214","26,439",209,395,27,957
"Tallapoosa County, Alabama",Tallapoosa County, Alabama,"41,311","28,477","10,409",127,222,0,677
"Tuscaloosa County, Alabama",Tuscaloosa County, Alabama,"227,036","136,582","69,088",963,"3,253",104,"6,311"
"Walker County, Alabama",Walker County, Alabama,"65,342","57,012","3,929",321,297,6,"1,047"
"Washington County, Alabama",Washington County, Alabama,"15,388","10,309","3,318","1,114",14,7,54
"Wilcox County, Alabama",Wilcox County, Alabama,"10,600","2,880","7,483",11,7,6,35
"Winston County, Alabama",Winston County, Alabama,"23,540","21,760",141,113,61,9,389
"Aleutians East Borough, Alaska",Aleutians East Borough, Alaska,"3,420",684,297,802,771,32,626
"Aleutians West Census Area, Alaska",Aleutians West Census Area, Alaska,"5,232","1,667",259,728,"1,513",239,452
"Anchorage Municipality, Alaska",Anchorage Municipality, Alaska,"291,247","164,446","14,576","23,661","27,646","10,001","10,115"
"Bethel Census Area, Alaska",Bethel Census Area, Alaska,"18,666","1,665",85,"15,632",202,2,64
"Bristol Bay Borough, Alaska",Bristol Bay Borough, Alaska,844,370,6,305,5,3,12
"Chugach Census Area, Alaska",Chugach Census Area, Alaska,"7,102","4,907",49,669,529,62,126
"Copper River Census Area, Alaska",Copper River Census Area, Alaska,"2,617","1,611",8,663,17,10,26
"Denali Borough, Alaska",Denali Borough, Alaska,"1,619","1,382",11,61,13,5,8
"Dillingham Census Area, Alaska",Dillingham Census Area, Alaska,"4,857",799,25,"3,453",48,9,27
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough, Alaska,"95,655","65,971","4,014","7,555","3,104",604,"2,237"
"Haines Borough, Alaska",Haines Borough, Alaska,"2,080","1,589",2,214,14,2,17
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area, Alaska,"2,365","1,147",6,878,16,5,29
"Juneau City and Borough, Alaska",Juneau City and Borough, Alaska,"32,255","20,124",350,"3,614","2,101",476,653
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough, Alaska,"58,799","46,382",386,"4,228",809,182,824
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough, Alaska,"13,948","8,430",103,"2,334","1,129",26,224
"Kodiak Island Borough, Alaska",Kodiak Island Borough, Alaska,"13,101","6,570",90,"1,826","2,803",117,388
"Kusilvak Census Area, Alaska",Kusilvak Census Area, Alaska,"8,368",173,16,"7,946",23,0,18
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough, Alaska,"1,476",303,2,994,9,1,0
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough, Alaska,"107,081","83,035","1,121","6,844","1,559",506,"1,717"
"Nome Census Area, Alaska",Nome Census Area, Alaska,"10,046","1,422",55,"7,556",111,5,56
"North Slope Borough, Alaska",North Slope Borough, Alaska,"11,031","3,082",162,"5,748",641,321,118
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough, Alaska,"7,793",700,72,"6,469",55,12,23
"Petersburg Borough, Alaska",Petersburg Borough, Alaska,"3,398","2,470",49,247,123,12,61
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area, Alaska,"5,753","2,403",22,"2,584",27,30,29
"Sitka City and Borough, Alaska",Sitka City and Borough, Alaska,"8,458","5,174",37,"1,248",573,14,215
"Skagway Municipality, Alaska",Skagway Municipality, Alaska,"1,240","1,070",10,32,39,0,9
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area, Alaska,"6,808","5,085",74,817,87,16,137
"Wrangell City and Borough, Alaska",Wrangell City and Borough, Alaska,"2,127","1,352",0,380,25,2,30
